category,text
tech,"Court mulls file-sharing future

Judges at the US Supreme Court have been hearing evidence for and against file-sharing networks.

The court will decide whether producers of file-sharing software can ultimately be held responsible for copyright infringement. They questioned if opening the way for the entertainment industry to sue file-sharers could deter innovation. They also said that file-trading firms had some responsibility for inducing people to piracy.

The lawsuit, brought by 28 of the world's largest entertainment firms, has raged for several years. Legal experts agree that if the Supreme Court finds in favour of the music and movie industry they would be able to sue file-trading firms into bankruptcy. But if the judge rules that Grokster and Morpheus - the file-sharers at the centre of the case - are merely providers of technology that can have legitimate as well as illegitimate uses, then the music and movie industry would be forced to abandon its pursuit of file-sharing providers. Instead, they would have to pursue individuals who use peer-to-peer networks to get their hands on free music and movies. The hi-tech and entertainment industries have been divided on the issue. Intel filed a document with the Supreme Court earlier this month in defence of Grokster and others, despite misgivings about some aspects of the file-sharing community. It summed up the attitude of many tech firms in its submission which states that its products ""are essentially tools, that like any other tools, capable of being used by consumers and businesses for unlawful purposes"".

Asking firms to second-guess the uses that its technologies would be put to, and to build in ways of preventing illegitimate use, would stifle innovation, it said. The Electronic Frontier Foundation, a civil rights watchdog, is also defending StreamCast Networks, the company behind the Morpheus file-sharing software. The case raises a question of critical importance at the border between copyright and innovation, it said. It cites, as do many, the landmark ruling in 1984 which found that Sony should not be held responsible for the fact that its Betamax video recorder could be used for piracy. Defenders remain optimistic that the judges will rule in favour of the peer-to-peer networks, upholding the precedent set by the Sony Betamax case. A small band of supporters were outside the court as the lawyers entered, wearing ""Save Betamax"" t-shirts. ""The Betamax principles stand as the Magna Carta for the technology industry and are responsible for the explosion in innovation that has occurred in the US over the past 20 years,"" said Gary Shapiro, chief executive of the Consumer Electronics Association. Supreme Court Justice Stephen Breyer said that inventions from printing to Apple's iPod could be used to illegally duplicate copyrighted materials but had, on balance, been beneficial to society. He said that while file-trading software can be used to illegally trade movies and music, conceptually the technology had ""some really excellent uses"".

Based on Tuesday's hearing it seems unlikely that the Betamax ruling will be overturned but file-sharing firms might still be held responsible for encouraging or inducing piracy. Grokster's lawyer argued that the company should be judged by its current behaviour rather than what it did when it first set up. But this argument was dismissed as ""ridiculous"" by Justice David Souter. CEA boss Mr Shapiro thinks the case is the most important that the Supreme Court will hear this year. ""It's about preserving America's proud history of technological innovation and protecting the ability of consumers to access and utilise technology,"" he said. The case has already been heard by two lower courts and both found in favour of the peer-to-peer networks. They ruled that despite being used to distribute millions of illegal songs, file-sharing could also be used to cheaply distribute software, government documents and promotional copies of music."
tech,"Camera phones are 'must-haves'

Four times more mobiles with cameras in them will be sold in Europe by the end of 2004 than last year, says a report from analysts Gartner.

Globally, the number sold will reach 159 million, an increase of 104%. The report predicts that nearly 70% of all mobile phones sold will have a built-in camera by 2008. Improving imaging technology in mobiles is making them an increasingly ""must-have"" buy. In Europe, cameras on mobiles can take 1.3 megapixel images. But in Japan and Asia Pacific, where camera phone technology is much more advanced, mobiles have already been released which can take 3.2 megapixel images. Japan still dominates mobile phone technology, and the uptake there is huge. By 2008, according to Gartner, 95% of all mobiles sold there will have cameras on them.

Camera phones had some teething problems when they were first launched as people struggled with poor quality images and uses for them, as well as the complexity and expense of sending them via MMS (Multimedia Messaging Services). This has changed in the last 18 months. Handset makers have concentrated on trying to make phones easier to use. Realising that people like to use their camera phones in different ways, they have introduced more design features, like rotating screens and viewfinders, removable memory cards and easier controls to send picture messages.

Mobile companies have introduced more ways for people to share photos with other people. These have included giving people easier ways to publish them on websites, or mobile blogs - moblogs. But the report suggests that until image quality increases more, people will not be interested in printing out pictures at kiosks. Image sensor technology inside cameras phones is improving. The Gartner report suggests that by mid-2005, it is likely that the image resolution of most camera phones will be more than two megapixels. Consumer digital cameras images range from two to four megapixels in quality, and up to six megapixels on a high-end camera. But a lot of work is being done to make camera phones more like digital cameras. Some handsets already feature limited zoom capability, and manufacturers are looking into technological improvements that will let people take more photos in poorly-lit conditions, like nightclubs. Other developments include wide-angle modes, basic editing features, and better sensors and processors for recording film clips.

Images from camera phones have even made it into the art world. An exhibition next month in aid of the charity Mencap, will feature snaps taken from the camera phones of top artists.

The exhibition, Fonetography, will feature images taken by photographers David Bailey, Rankin and Nan Goldin, and artists Sir Peter Blake, Tracey Emin and Jack Vettriano. But some uses for them have worried many organisations. Intel, Samsung, the UK's Foreign Office and Lawrence Livermore National Laboratories in the US, have decided to ban camera phones from their buildings for fear of sensitive information being snapped and leaked. Many schools, fitness centres and local councils have also banned them over fears about privacy and misuse. Italy's information commissioner has also voiced concern and has issued guidelines on where and how the phones can be used. But camera phone fears have not dampened the manufacturers' profits. According to recent figures, Sony Ericsson's profits tripled in the third-quarter because of new camera phones. Over 60% of mobiles sold during the three months through to September featured integrated cameras, it said."
tech,"Seamen sail into biometric future

The luxury cruise liner Crystal Harmony, currently in the Gulf of Mexico, is the unlikely setting for tests of biometric technology.

As holidaymakers enjoy balmy breezes, their ship's crew is testing prototype versions of the world's first internationally issued biometric ID cards, the seafarer's equivalent of a passport. Along with the owner's picture, name and personal details, the new Seafarers' Identity Document incorporates a barcode representing unique features of its holder's fingerprints. The cards are due to be issued in February next year, in line with the revised UN Convention on Seafarers' Identity Documents of June 2003. Tests currently under way in the Caribbean are designed to ensure that new cards and their machine readers, produced by different companies in different countries, are working to interoperable standards. Results of the current tests, which involve seafarers from a wide range of occupations and nationalities, will be published by the International Labour Organisation (ILO) by the end of November. Crystal Cruises, which operates the Crystal Harmony, is exploring the use of biometrics but has not yet committed to the technology.

Authenti-corp, the US technology consultancy, has been working with the ILO on its technical specifications for the cards.

""If you're issued a seafarer's ID in your country, you want to be sure that when the ship lands in a port in, say, my country you can validate yourself using whatever equipment we have installed,"" Authenti-corp's CEO, Cynthia Musselman, told the BBC's Go Digital programme. She said French, Jordanian and Nigerian nationals would be the first seafarers to get the new ID cards since their countries have already ratified the convention. It aims to combat international terrorism whilst guaranteeing the welfare the one million seafarers estimated to be at sea. The convention highlights the importance of access to shore facilities and shore leave as vital elements to a sailor's wellbeing and, therefore, it says, to safer shipping and cleaner oceans. ""By increasing security on the seas as well as border control and protection, the cards will hopefully reduce the number of piracy problems around the world,"" said Ms Musselman. ""It should be a safer environment for seafarers to work in, and will allow people protecting their borders to have confidence that the people getting off the ship are, in fact, seafarers."""
tech,"Sony PSP tipped as a 'must-have'

Sony's Playstation Portable is the top UK gadget for 2005, according to a round-up of ultimate gizmos compiled by Stuff Magazine.

It beats the iPod into second place in the Top Ten Essentials list which predicts what gadget-lovers are likely to covet this year. Owning all 10 gadgets will set the gadget lover back £7,455. That is £1,000 cheaper than last year's list due to falling manufacturing costs making gadgets more affordable.

Portable gadgets dominate the list, including Sharp's 902 3G mobile phone, the Pentax Optio SV digital camera and Samsung's Yepp YH-999 video jukebox.

""What this year's Essentials shows is that gadgets are now cheaper, sexier and more indispensable than ever. We've got to the point where we can't live our lives without certain technology,"" said Adam Vaughan, editor of Stuff Essentials. The proliferation of gadgets in our homes is inexorably altering the role of the high street in our lives thinks Mr Vaughan. ""Take digital cameras, who would now pay to develop an entire film of photos? Or legitimate downloads, who would travel miles to a record shop when they could download the song in minutes for 70p?"" he asks. Next year will see a new set of technologies capturing the imaginations of gadget lovers, Stuff predicts. The Xbox 2, high-definition TV and MP3 mobiles will be among the list of must-haves that will dominate 2006, it says. The spring launch of the PSP in the UK is eagerly awaited by gaming fans."
tech,"Speech takes on search engines

A Scottish firm is looking to attract web surfers with a search engine that reads out results.

Called Speegle, it has the look and feel of a normal search engine, with the added feature of being able to read out the results. Scottish speech technology firm CEC Systems launched the site in November. But experts have questioned whether talking search engines are of any real benefit to people with visual impairments.

The Edinburgh-based firm CEC has married speech technology with ever-popular internet search. The ability to search is becoming increasingly crucial to surfers baffled by the huge amount of information available on the web.

According to search engine Ask Jeeves, around 80% of surfers visit search engines as their first port of call on the net. People visiting Speegle can select one of three voices to read the results of a query or summarise news stories from sources such as the BBC and Reuters. ""It is still a bit robotic and can make a few mistakes but we are never going to have completely natural sounding voices and it is not bad,"" said Speegle founder Gordon Renton. ""The system is ideal for people with blurred vision or for those that just want to search for something in the background while they do something else. ""We are not saying that it will be suitable for totally blind people, although the Royal National Institute of the Blind (RNIB) is looking at the technology,"" he added. But Julie Howell, digital policy manager at the RNIB, expressed doubts over whether Speegle and similar sites added anything to blind people's experience of the web. ""There are a whole lot of options like this springing up on the web and one has to think carefully about what the market is going to be,"" she said. ""Blind people have specialised screen readers available to them which will do the job these technologies do in a more sophisticated way,"" she added.

The site uses a technology dubbed PanaVox, which takes web text and converts it into synthesised speech. In the past speech technology has only been compatible with broadband because of the huge files it downloads but CEC says its compression technology means it will also work on slower dial-up connections. Visitors to Speegle may notice that the look and feel of the site bears more than a passing resemblance to the better known, if silent, search engine Google. Google has no connection with Speegle and the use of bright colours is simply to make the site more visible for those with visual impairments, said Mr Renton. ""It is not a rip-off. We are doing something that Google does not do and is not planning to do and there is truth in the saying that imitation is the sincerest form of flattery,"" he said. Speegle is proving popular with those learning English in countries such as Japan and China. ""The site is bombarded by people just listening to the words. The repetition could be useful although they may all end up talking like robots,"" said Mr Renton."
entertainment,"Foxx and Swank win US awards

Jamie Foxx and Hilary Swank have won the Screen Actors Guild Awards for best male and female film actors, boosting their Oscars hopes this month.

Foxx's portrayal of late soul-singer Ray Charles in Ray had already earned him a prestigious Golden Globe award. Swank triumphed for playing a gutsy female boxer in Million Dollar Baby. Modest wine country comedy Sideways knocked out favourites Million Dollar Baby and The Aviator by taking the top prize for best cast performance.

The Screen Actors Guild (SAG) represents US film and TV actors. Its winners often go on to win Oscars. In other nominations, Cate Blanchett triumphed as the best supporting actress for her role as Katharine Hepburn in The Aviator. Veteran actor Morgan Freeman took the best supporting actor award for playing a prize-fighter turned gym manager in Million Dollar Baby.

""Thank you for Ray Charles for just living so complex and so interesting, and making us all just come together,"" said Foxx, accepting his award in Los Angeles on Saturday.

He also praised the film director: ""Thank you for Taylor Hackford for taking a chance with an African-American film. Taylor, you're my director of the year."" Swank, too, was full of praise for her director and co-star Clint Eastwood. ""I bow down to you,"" Swank said to the 74-year-old Eastwood. ""You are a talent beyond compare. If I'm half the person you are and half the talent you are when I'm 74, I will know that I've accomplished something great.""

Both Foxx and Swank are now considered to be among the favourites to get Oscars - the Hollywood's ultimate prize. However, Swank has to overcome a strong challenge from Annette Bening, a nominee for the theatre farce Being Julia. Meanwhile, ballots for Oscars - the Hollywood's top honours - were mailed earlier this week to members of the Academy of Motion Picture Arts and Sciences. The voting is due to end on 22 February - five days before the ceremony."
entertainment,"U2 stars enter rock Hall of Fame

Singer Bruce Springsteen has inducted Irish rock band U2 into the Rock and Roll Hall of Fame, in New York.

The lavish ceremony, celebrating the 50th anniversary of rock 'n' roll, also saw the induction of the Pretenders, Percy Sledge, the O'Jays and Buddy Guy. ""This was a band that wanted to lay claim to this world and the next one, too,"" said Springsteen. Bono, The Edge, Adam Clayton and Larry Mullen Jr, who formed U2 at school in 1977, begin a world tour on 28 March. Introducing the band, Springsteen mocked Bono as the man who ""single-handedly pioneered the Irish mullet"", poking fun at ""one of the best and most endearingly messianic complexes in rock 'n' roll"". But he also spoke of the group's enduring stature, adding that it was the only band of the last 20 years where he knew all four members' names.

U2's contemporaries, the Pretenders, led by Chrissie Hynde - took to the stage to perform My City Was Gone with inductee Neil Young. ""We are a tribute band,"" said Hynde, 53. ""We're paying tribute to James Honeyman-Scott and Pete Farndon, without whom we would not have been here,"" she said, referring to the premature deaths of two of the band's guitarists from drug overdoses.

Britain's Rod Stewart introduced Percy Sledge, citing his best-known hit When a Man loves a Woman as ""one of the best performances I've ever heard"". Justin Timberlake introduced soul group the O'Jays, a gospel-style quartet from Ohio, who performed a medley of their best-known songs including Back Stabbers, Love Train and For the Love of Money. ""Anyone who's ever written, produced or performed something soulful stands in the shadows of these giants,"" said Timberlake.

Joining the ceremony at New York's Waldorf Astoria were legendary R&B star Bo Diddley, who performed with Eric Clapton and Robbie Robertson.

Clapton, alongside BB King, also introduced fellow guitarist Buddy Guy and recalled seeing him play as a teenager in England. ""He was for me what Elvis was probably like for other people,"" he said. ""My course was set and he was my pilot,"" said Clapton who joined Guy and King in a performance of Let Me Love You Baby. Also performing at the ceremony was veteran musician Jerry Lee Lewis who continued his reputation as a rowdy piano-pounder despite his 69 years, kicking over his stool and sitting on the piano during a rendition of Whole Lotta Shakin' Goin' On."
entertainment,"'My memories of Marley...'

To mark the 60th anniversary of the birth of reggae star Bob Marley, Rob Partridge - Marley's former head of press at Island Records - remembers the man behind the legend.

Partridge worked with Marley from 1977 until the Jamaican musician's death in 1981.

: ""I joined Island Records in 1977 and the first week I was there I worked on his show at the Rainbow Theatre. It was one of the last dates he did in London.""

: The album Exodus came out in 1977 and that provided five hits and confirmed his global superstar status. ""By 1979 he was the biggest touring attraction in the world. I remember going to see dates in Milan and Turin and they were enormous concerts.""

: Bob was one of the most mesmeric people I've ever had the privilege to work with. ""He must have had an iron will to succeed. Bob was a very driven individual. You realised from the start there was a manifest destiny within him that he believed in. He didn't suffer fools gladly. At the risk of stating the obvious, he was an extraordinary song writer and his stage act was perhaps the greatest I've ever seen. I saw him many times.""

: ""I recall in 1978 he came to the UK for Top of the Pops and a Daily Mirror journalist did a half-hour interview. It was interrupted to do a rehearsal. He came back into the dressing room to resume the interview but saw a World Cup match on TV.

""He sat down in front of the TV and after 10 minutes it was obvious he wasn't going to move. That was the end of it. The Mirror had a very truncated interview. ""The last time I saw him was in London in 1980. I arranged for him to play four days of football indoors in Fulham. ""Bob was a good player. We are talking about Jamaican-style football. He was an attacking midfield player. His team assembled wherever his gigs were. We played in Brazil against some World Cup-winning players.""

: It was always a struggle for him to connect with Black America. Reggae did not correspond with disco in the 70s. But Bob in the 1990s became one of the great icons in America and the Third World. ""In 1991, ten years after his death, he sold more records than at any time during his life. ""We saw Black America taking Bob into their hearts for the first time.""

: ""Bob, in worldwide terms, is the greatest music star there has ever been. If you went to Africa he would be recognised everywhere, in places John Lennon or Elvis wouldn't be. ""No disrespect to the other artists but a case can be made for him as the greatest, the best and the most influential artist in popular music.""

: Well 1981 was to be the year he toured Africa with Stevie Wonder. He had only performed in Zimbabwe and Guinea before. ""Of course the 1981 tour never happened, but the whole of Africa would have embraced him. We can't speculate but he was at the height of his powers and just 36 years old. I had no sense his career was going to go downhill.""

: ""Bob was endlessly optimistic about the way Africa would turn out. He realised that nothing was perfect but he had total belief in the power of mankind. ""I'm sure if he were alive today he would believe Africa would firstly become politically free and secondly be able to defeat the Aids epidemic.""

: ""The final tune of his final album was Redemption Song - one of the most incredible classics of all time."""
entertainment,"Berlin cheers for anti-Nazi film

A German movie about an anti-Nazi resistance heroine has drawn loud applause at Berlin Film Festival.

Sophie Scholl - The Final Days portrays the final days of the member of the White Rose movement. Scholl, 21, was arrested and beheaded with her brother, Hans, in 1943 for distributing leaflets condemning the ""abhorrent tyranny"" of Adolf Hitler. Director Marc Rothemund said: ""I have a feeling of responsibility to keep the legacy of the Scholls going."" ""We must somehow keep their ideas alive,"" he added.

The film drew on transcripts of Gestapo interrogations and Scholl's trial preserved in the archive of communist East Germany's secret police. Their discovery was the inspiration behind the film for Rothemund, who worked closely with surviving relatives, including one of Scholl's sisters, to ensure historical accuracy on the film. Scholl and other members of the White Rose resistance group first started distributing anti-Nazi leaflets in the summer of 1942. They were arrested as they dropped leaflets at Munich University calling for a ""day of reckoning"" with Adolf Hitler's regime. The film focuses on the six days from Scholl's arrest to the intense trial which saw Scholl initially deny the charges and ended with a defiant appearance. It is one of three German films vying for a top prize at the Festival.

A South African film version of Bizet's tragic opera Carmen shot in Cape Town in the Xhosa language has also premiered at the Berlin Festival. The film is entitled U-Carmen eKhayelitsha or Carmen in Khayelitsha after the township in which the story is set. It is performed by a 40-strong music and theatre troupe in their debut film performance. The film is the first South African feature in 25 years and only the second to be nominated for a Golden Bear Award."
entertainment,"Help for indies in download sales

A campaign has been launched to help independent labels get their music online and benefit from the growing trend for downloading music.

The British Phonographic Industry has identified a lack of independent music available for download. ""We want to ensure that independent repertoire is as successful in the download world as it is in the physical world,"" said BPI chief Peter Jamieson. Downloaded singles have now overtaken physical singles in the UK. Mr Jamieson said his organisation was lobbying music service providers, which include iTunes and Napster, to urge them to promote independent releases. Download sales are due to be incorporated into the UK singles chart later this year. ""With downloads shortly to be eligible for the singles chart, this is a key commercial issue on which the BPI committed to assisting its members,"" added Mr Jamieson. As part of the campaign the BPI is running a series of seminars entitled Getting Your Music Online, focusing on how independent labels can embrace digital music. The US has already begun incorporating download sales in the Billboard's Hot 100 chart."
business,"Khodorkovsky quits Yukos shares

Jailed tycoon Mikhail Khodorkovsky has transferred his controlling stake in oil giant Yukos to a business partner.

Mr Khodorkovsky handed over his entire 59.5% stake in holding company Group Menatep - which controls Yukos - to Leonid Nevzlin. A close ally of the ex-Yukos boss, Mr Nevzlin is currently based in Israel. Mr Khodorkovsky handed over his stake after the forced sale of Yukos' core oil production unit, Yuganskneftegaz to pay a giant tax bill.

Yuganskneftegaz was sold off at auction in December last year, eventually falling into the hands of state oil firm Rosneft in a deal worth $9.4bn (£5bn). ""Since the sale of Yuganskneftegaz, I have been delivered of (all) responsibility for the business that remains and the group's money as a whole,"" Mr Khodorkovsky said. ""It is all over. As before, I see my future in public activity to build a civil society in Russia."" Mr Nevzlin is Yukos' largest shareholder but is living in self-imposed exile in Israel. Yuganskneftegaz pumps around 1 million barrels of oil a day. It was sold by the Russian authorities to recover government tax claims against Yukos totalling over $27bn. Previously considered to be Russia's richest man, with an estimated fortune of $15bn, Mr Khodorkovsky is currently on trial for fraud and tax evasion following his arrest in October 2003. However, the charges are widely seen as politically motivated and part of a drive by Russian President Vladimir Putin to rein in the country's super-rich business leaders, the so-called oligarchs. It is also believed that Mr Khodorkovsky was particularly targeted because he had started to bankroll political opponents of Mr Putin."
business,"EU-US seeking deal on air dispute

The EU and US have agreed to begin talks on ending subsidies given to aircraft makers, EU Trade Commissioner Peter Mandelson has announced.

Both sides hope to reach a negotiated deal over state aid received by European aircraft maker Airbus and its US rival Boeing, Mr Mandelson said. Airbus and Boeing accuse each other of benefiting from illegal subsidies. Mr Mandelson said the EU and US hoped to avoid having to resolve the dispute at the World Trade Organisation (WTO).

""With this agreement the EU and US have confirmed their willingness to resolve the dispute which has arisen between them,"" Mr Mandelson said. ""I hope our negotiations in the next three months will lead to an agreement ending subsidies to development and production of large civil aircraft."" Last year, the US terminated an agreement with the EU, reached in 1992, which limits the subsidies countries can hand over to civil aircraft makers. The US filed a complaint against Brussels with the WTO over state aid to Airbus, prompting a retaliatory EU complaint over US support for Boeing. However, both sides agreed to suspend their requests for WTO arbitration at the beginning of December, to allow bilateral talks to continue. EADS and BAE Systems, the European defence and aerospace firms which own Airbus, welcomed Mr Mandelson's announcement. ""It has always been preferable that any differences between the US and Europe on this matter be overcome through constructive discussion rather than through legal recourse,"" the companies said in a joint statement.

Separately, the world's largest package delivery company, UPS, said it had placed an order for 10 Airbus A380 superjumbo freight-carrying jets, with an option to buy 10 more of the triple-decker aircraft. The US company said it needed to expand its air freight capacity following strong international growth, and would begin receiving deliveries of the A380s from 2009. However, UPS said it was cutting a previous order for smaller Airbus A300s from 90 planes to 53. So far, Airbus has delivered 40 A300s to UPS. Airbus overtook Boeing as the world's largest manufacturer of commercial airliners in 2003."
business,"US economy still growing says Fed

Most areas of the US saw their economy continue to expand in December and early January, the US Federal Reserve said in its latest Beige Book report.

Of the 12 US regions it identifies for the study, 11 showed stronger economic growth, with only the Cleveland area falling behind with a ""mixed"" rating. Consumer spending was higher in December than November, and festive sales were also up on 2003. The employment picture also improved, the Fed said.

""Labour markets firmed in a number of districts, but wage pressures generally remained modest,"" the Beige Book said. ""Several districts reported higher prices for building materials and manufacturing inputs, but most reported steady or only slightly higher overall price levels."" The report added that residential real estate activity remained strong and that commercial real estate activity strengthened in most districts. ""Office leasing was especially brisk in Washington DC, and New York City, two of the nation's strongest commercial markets,"" the Fed said."
business,"BT offers equal access to rivals

BT has moved to pre-empt a possible break-up of its business by offering to cut wholesale broadband prices and open its network to rivals.

The move comes after telecom regulator Ofcom said in November that the firm must offer competitors ""real equality of access to its phone lines"". At the time, Ofcom offered BT the choice of change or splitting into two. Ofcom is carrying out a strategic review aimed at promoting greater competition in the UK telecom sector. BT's competitors have frequently accused it of misusing its status as the former telecoms monopoly and controller of access to many customers to favour its own retail arm.

This latest submission was delivered to the watchdog ahead of a deadline for the second phase of its review.

""Central to the proposals are plans by BT to offer operators lower wholesale prices, faster broadband services and transparent, highly-regulated access to BT's local network,"" the former monopoly said in a statement. ""The United Kingdom has the opportunity to create the most exciting and innovative telecoms market in the world,"" BT chief executive Ben Verwaayen said. ""BT has a critical role to play, and today we are making a set of far-reaching proposals towards that framework,"" he said. BT wants lighter regulation in exchange for the changes, as well as the removal of the break-up threat.

The group is to set up a new Access Services division - with a separate board which would include independent members - to ensure equal access for rivals to the ""local loop"", the copper wires that run between telephone exchanges and households. The company also unveiled plans to cut the wholesale prices of its most popular broadband product by about 8% from April in areas of high customer demand.

It added that it plans to invest £10bn in the next five years to create a ""21st Century network"". To meet the growing demand for greater bandwidth, BT said it would begin trials in April with a view to launching higher-speed services nationally from the autumn.

Telecom analysts Ovum welcomed the move, saying BT had ""given a lot of ground"".

""The big question now is whether the industry, and particularly Ofcom feels BT's proposals go far enough ...Now the real negotiation begins,"" director of telecoms research Tony Lavender said. Internet service provider (ISP) Plus.net also backed the proposals saying ""we will be entirely happy if Ofcom accepts them"". ""BT has been challenged to play fair and its plans will introduce a level playing field. The scenario now is how well people execute their business plans as a service provider,"" chief executive Lee Strafford said. Chris Panayis, managing director of ISP Freedom2surf said that it would make the situation clearer for business. ""I think it's the first productive thing we've had from BT,"" he said.

AOL backed the price cuts but said regulation was still needed to ensure a level playing field. ""This is a reminder to Ofcom that as long as BT can change the dynamics of the whole broadband market at will, the process of opening up the UK's local telephone network to infrastructure investment and competition remains fragile,"" a spokesman said. ""Ofcom needs to return to regulation of the wholesale broadband service [IPStream] and provide more robust rules for local loop unbundling if consumers are to see the benefits of increased competition and infrastructure investment."" More than 100 telecom firms, consumer groups and other interested parties are expected to make submissions to the regulator during this consultation phase. Ofcom is expected to spend the next few weeks examining the proposals before making an announcement within the next few months."
business,"US trade gap ballooned in October

The US trade deficit widened by more than expected in October, hitting record levels after higher oil prices raised import costs, figures have shown

The trade shortfall was $55.5bn (£29bn), up 9% from September, the Commerce Department said. That pushed the 10 month deficit to $500.5bn. Imports rose by 3.4%, while exports increased by only 0.6%. A weaker dollar also increased the cost of imports, though this should help drive export demand in coming months. ""Things are getting worse, but that's to be expected,"" said David Wyss of Standard & Poor's in New York. ""The first thing is that when the dollar goes down, it increases the price of imports. ""We are seeing improved export orders. Things seem to be going in the right direction.""

Despite this optimism, significant concerns remain as to how the US will fund its trade and budget deficits should they continue to widen. Another problem highlighted by analysts was the growing trade gap with China, which has been accused of keeping its currency artificially weak in order to boost exports. The US imported almost $20bn worth of goods from China during October, exporting a little under $3bn. ""It seems the key worry that has existed in the currency market still remains,"" said Anthony Crescenzi, a bond strategist at Miller Tabak in New York. The trade deficit and the shortfall with China ""are big issues going forward"". The Commerce Department figures caused the dollar to weaken further despite widespread expectations that the Federal Reserve will raise interest rates for a fifth time this year. Borrowing costs are tipped to rise by a quarter of a percentage point to 2.25% at a Fed meeting later on Tuesday."
